source,target,relationship,course,since,strength,type,department
769,1671,born 5 years apart,birth-year proximity,1902,0.38,bidirectional,same generation
769,8103,born 5 years apart,birth-year proximity,1902,0.38,bidirectional,same generation
2927,1671,born 1 year apart,birth-year proximity,1906,0.88,bidirectional,same generation
2927,8103,born 1 year apart,birth-year proximity,1906,0.88,bidirectional,same generation
2927,5103,born 4 years apart,birth-year proximity,1906,0.5,bidirectional,same generation
2927,1672,born 6 years apart,birth-year proximity,1906,0.25,bidirectional,same generation
1671,8103,born 0 years apart,birth-year proximity,1907,1.0,bidirectional,same generation
1671,5103,born 3 years apart,birth-year proximity,1907,0.62,bidirectional,same generation
1671,1672,born 5 years apart,birth-year proximity,1907,0.38,bidirectional,same generation
8103,5103,born 3 years apart,birth-year proximity,1907,0.62,bidirectional,same generation
8103,1672,born 5 years apart,birth-year proximity,1907,0.38,bidirectional,same generation
5103,1672,born 2 years apart,birth-year proximity,1910,0.75,bidirectional,same generation
5103,44188,born 4 years apart,birth-year proximity,1910,0.5,bidirectional,same generation
5103,531,born 5 years apart,birth-year proximity,1910,0.38,bidirectional,same generation
1672,44188,born 2 years apart,birth-year proximity,1912,0.75,bidirectional,same generation
1672,531,born 3 years apart,birth-year proximity,1912,0.62,bidirectional,same generation
1672,22938,born 6 years apart,birth-year proximity,1912,0.25,bidirectional,same generation
1672,5076,born 6 years apart,birth-year proximity,1912,0.25,bidirectional,same generation
44188,531,born 1 year apart,birth-year proximity,1914,0.88,bidirectional,same generation
44188,22938,born 4 years apart,birth-year proximity,1914,0.5,bidirectional,same generation
44188,5076,born 4 years apart,birth-year proximity,1914,0.5,bidirectional,same generation
44188,132545,born 6 years apart,birth-year proximity,1914,0.25,bidirectional,same generation
531,22938,born 3 years apart,birth-year proximity,1915,0.62,bidirectional,same generation
531,5076,born 3 years apart,birth-year proximity,1915,0.62,bidirectional,same generation
531,132545,born 5 years apart,birth-year proximity,1915,0.38,bidirectional,same generation
22938,5076,born 0 years apart,birth-year proximity,1918,1.0,bidirectional,same generation
22938,132545,born 2 years apart,birth-year proximity,1918,0.75,bidirectional,same generation
22938,22897,born 4 years apart,birth-year proximity,1918,0.5,bidirectional,same generation
5076,132545,born 2 years apart,birth-year proximity,1918,0.75,bidirectional,same generation
5076,22897,born 4 years apart,birth-year proximity,1918,0.5,bidirectional,same generation
132545,22897,born 2 years apart,birth-year proximity,1920,0.75,bidirectional,same generation
132545,6132,born 5 years apart,birth-year proximity,1920,0.38,bidirectional,same generation
22897,6132,born 3 years apart,birth-year proximity,1922,0.62,bidirectional,same generation
6132,2108,born 4 years apart,birth-year proximity,1925,0.5,bidirectional,same generation
6132,7661,born 6 years apart,birth-year proximity,1925,0.25,bidirectional,same generation
6132,8216,born 6 years apart,birth-year proximity,1925,0.25,bidirectional,same generation
2108,7661,born 2 years apart,birth-year proximity,1929,0.75,bidirectional,same generation
2108,8216,born 2 years apart,birth-year proximity,1929,0.75,bidirectional,same generation
2108,36,born 3 years apart,birth-year proximity,1929,0.62,bidirectional,same generation
2108,7986,born 5 years apart,birth-year proximity,1929,0.38,bidirectional,same generation
2108,2308,born 5 years apart,birth-year proximity,1929,0.38,bidirectional,same generation
2108,3910,born 5 years apart,birth-year proximity,1929,0.38,bidirectional,same generation
2108,7569,born 6 years apart,birth-year proximity,1929,0.25,bidirectional,same generation
7661,8216,born 0 years apart,birth-year proximity,1931,1.0,bidirectional,same generation
7661,36,born 1 year apart,birth-year proximity,1931,0.88,bidirectional,same generation
7661,7986,born 3 years apart,birth-year proximity,1931,0.62,bidirectional,same generation
7661,2308,born 3 years apart,birth-year proximity,1931,0.62,bidirectional,same generation
7661,3910,born 3 years apart,birth-year proximity,1931,0.62,bidirectional,same generation
7661,7569,born 4 years apart,birth-year proximity,1931,0.5,bidirectional,same generation
7661,8988,born 6 years apart,birth-year proximity,1931,0.25,bidirectional,same generation
8216,36,born 1 year apart,birth-year proximity,1931,0.88,bidirectional,same generation
8216,7986,born 3 years apart,birth-year proximity,1931,0.62,bidirectional,same generation
8216,2308,born 3 years apart,birth-year proximity,1931,0.62,bidirectional,same generation
8216,3910,born 3 years apart,birth-year proximity,1931,0.62,bidirectional,same generation
8216,7569,born 4 years apart,birth-year proximity,1931,0.5,bidirectional,same generation
8216,8988,born 6 years apart,birth-year proximity,1931,0.25,bidirectional,same generation
36,7986,born 2 years apart,birth-year proximity,1932,0.75,bidirectional,same generation
36,2308,born 2 years apart,birth-year proximity,1932,0.75,bidirectional,same generation
36,3910,born 2 years apart,birth-year proximity,1932,0.75,bidirectional,same generation
36,7569,born 3 years apart,birth-year proximity,1932,0.62,bidirectional,same generation
36,8988,born 5 years apart,birth-year proximity,1932,0.38,bidirectional,same generation
7986,2308,born 0 years apart,birth-year proximity,1934,1.0,bidirectional,same generation
7986,3910,born 0 years apart,birth-year proximity,1934,1.0,bidirectional,same generation
7986,7569,born 1 year apart,birth-year proximity,1934,0.88,bidirectional,same generation
7986,8988,born 3 years apart,birth-year proximity,1934,0.62,bidirectional,same generation
2308,3910,born 0 years apart,birth-year proximity,1934,1.0,bidirectional,same generation
2308,7569,born 1 year apart,birth-year proximity,1934,0.88,bidirectional,same generation
2308,8988,born 3 years apart,birth-year proximity,1934,0.62,bidirectional,same generation
3910,7569,born 1 year apart,birth-year proximity,1934,0.88,bidirectional,same generation
3910,8988,born 3 years apart,birth-year proximity,1934,0.62,bidirectional,same generation
7569,8988,born 2 years apart,birth-year proximity,1935,0.75,bidirectional,same generation
7569,7055,born 6 years apart,birth-year proximity,1935,0.25,bidirectional,same generation
8988,7055,born 4 years apart,birth-year proximity,1937,0.5,bidirectional,same generation
8988,47230,born 6 years apart,birth-year proximity,1937,0.25,bidirectional,same generation
7055,47230,born 2 years apart,birth-year proximity,1941,0.75,bidirectional,same generation
7055,6956,born 3 years apart,birth-year proximity,1941,0.62,bidirectional,same generation
7055,7527,born 5 years apart,birth-year proximity,1941,0.38,bidirectional,same generation
47230,6956,born 1 year apart,birth-year proximity,1943,0.88,bidirectional,same generation
47230,7527,born 3 years apart,birth-year proximity,1943,0.62,bidirectional,same generation
6956,7527,born 2 years apart,birth-year proximity,1944,0.75,bidirectional,same generation
6956,6953,born 6 years apart,birth-year proximity,1944,0.25,bidirectional,same generation
7527,6953,born 4 years apart,birth-year proximity,1946,0.5,bidirectional,same generation
6953,44528,born 4 years apart,birth-year proximity,1950,0.5,bidirectional,same generation
6953,8958,born 6 years apart,birth-year proximity,1950,0.25,bidirectional,same generation
44528,8958,born 2 years apart,birth-year proximity,1954,0.75,bidirectional,same generation
